,label,animal_id,Cell,image_id,norm_mean_tmem,norm_mean_cd68,tmem_level,cd68_level,Breeder ID,Animal ID,Age,Section Key,Breeder ID.1,Animal ID.1,Sex,Age.1,Date of Surgery,Ab
87,B10_1_MIP.czi:c:3/4 - B10_1_MIP.czi #1,B10,4,1,0.04868893262695101,0.040557571804372056,low,high,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34
88,B10_2_MIP.czi:c:3/4 - B10_2_MIP.czi #1,B10,1,2,0.041688747461740394,-0.005488212569956921,low,mid,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34
89,B10_2_MIP.czi:c:3/4 - B10_2_MIP.czi #1,B10,2,2,0.027660472186559065,0.011718735451342888,low,high,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34
90,B10_2_MIP.czi:c:3/4 - B10_2_MIP.czi #1,B10,3,2,0.06316796042319989,-0.013150421952594873,mid,low,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34
91,B10_2_MIP.czi:c:3/4 - B10_2_MIP.czi #1,B10,4,2,0.021394356420035447,-0.003143158203324857,low,mid,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34
92,B10_3_MIP.czi:c:3/4 - B10_3_MIP.czi #1,B10,1,3,0.017929700753638173,0.005650535707578966,low,mid,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34
93,B10_3_MIP.czi:c:3/4 - B10_3_MIP.czi #1,B10,2,3,0.01763652000129442,0.007450453162626339,low,mid,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34
94,B10_3_MIP.czi:c:3/4 - B10_3_MIP.czi #1,B10,3,3,0.02834831910120176,0.005424939067263282,low,mid,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34
95,B10_3_MIP.czi:c:3/4 - B10_3_MIP.czi #1,B10,4,3,-0.007586918198509242,-0.010185137774396717,low,low,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34
96,B11_1_MIP.czi:c:3/4 - B11_1_MIP.czi #1,B11,1,1,0.08598168425568714,0.08663530380591816,mid,high,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1
97,B11_1_MIP.czi:c:3/4 - B11_1_MIP.czi #1,B11,2,1,0.13604255332329745,0.14367864156460436,high,high,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1
98,B11_1_MIP.czi:c:3/4 - B11_1_MIP.czi #1,B11,3,1,0.12817775131589806,0.07599123513845016,high,high,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1
99,B11_1_MIP.czi:c:3/4 - B11_1_MIP.czi #1,B11,4,1,0.11650370120402216,0.06011174933160758,high,high,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1
100,B11_2_MIP.czi:c:3/4 - B11_2_MIP.czi #1,B11,1,2,0.18043236214607028,0.046286913056410264,high,high,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1
101,B11_2_MIP.czi:c:3/4 - B11_2_MIP.czi #1,B11,2,2,0.2726137808702606,0.0950798990422654,high,high,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1
102,B11_2_MIP.czi:c:3/4 - B11_2_MIP.czi #1,B11,3,2,0.1791551031160486,0.09431337930804826,high,high,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1
103,B11_2_MIP.czi:c:3/4 - B11_2_MIP.czi #1,B11,4,2,0.10449935743561041,0.07032035778628278,mid,high,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1
104,B11_3_MIP.czi:c:3/4 - B11_3_MIP.czi #1,B11,1,3,0.12525741748653968,0.07955698883480791,high,high,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1
105,B11_3_MIP.czi:c:3/4 - B11_3_MIP.czi #1,B11,2,3,0.10259090700883293,0.09407607130374869,mid,high,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1
106,B11_3_MIP.czi:c:3/4 - B11_3_MIP.czi #1,B11,3,3,0.11876487645139246,0.07580436319995414,high,high,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1
107,B11_3_MIP.czi:c:3/4 - B11_3_MIP.czi #1,B11,4,3,0.1346086233391041,0.07506909339672485,high,high,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1
108,B12_1_MIP.czi:c:3/4 - B12_1_MIP.czi #1,B12,1,1,0.026599103388139034,-0.01292799184429709,low,low,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120
109,B12_1_MIP.czi:c:3/4 - B12_1_MIP.czi #1,B12,2,1,0.027039566225428358,-0.017693436474686637,low,low,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120
110,B12_1_MIP.czi:c:3/4 - B12_1_MIP.czi #1,B12,3,1,0.09298655763490528,0.016026694347679254,mid,high,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120
111,B12_1_MIP.czi:c:3/4 - B12_1_MIP.czi #1,B12,4,1,0.1088517440316623,-0.01456226198345148,mid,low,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120
112,B12_2_MIP.czi:c:3/4 - B12_2_MIP.czi #1,B12,1,2,0.14728901989541154,-0.0419305159706343,high,low,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120
113,B12_2_MIP.czi:c:3/4 - B12_2_MIP.czi #1,B12,2,2,0.14064917239534258,-0.019069802607856123,high,low,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120
114,B12_2_MIP.czi:c:3/4 - B12_2_MIP.czi #1,B12,3,2,0.16218432811271838,-0.05420457025363187,high,low,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120
115,B12_2_MIP.czi:c:3/4 - B12_2_MIP.czi #1,B12,4,2,0.1934538880692609,-0.019027304938885964,high,low,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120
116,B12_3_MIP.czi:c:3/4 - B12_3_MIP.czi #1,B12,1,3,0.18686484828900599,-0.07544003112696768,high,low,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120
117,B12_3_MIP.czi:c:3/4 - B12_3_MIP.czi #1,B12,2,3,0.10087700035683893,-0.019084936821205392,mid,low,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120
118,B12_3_MIP.czi:c:3/4 - B12_3_MIP.czi #1,B12,3,3,0.15422234092803214,-0.04680285685315845,high,low,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120
119,B12_3_MIP.czi:c:3/4 - B12_3_MIP.czi #1,B12,4,3,0.14577177829171978,-0.05684539261496829,high,low,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120
120,B13_1_MIP.czi:c:3/4 - B13_1_MIP.czi #1,B13,1,1,0.061925609617815194,0.008650391753945899,mid,mid,W(22),M1,P17,B13,W(22),M1,Male,P15,12/18/2022,a-gp120
121,B13_1_MIP.czi:c:3/4 - B13_1_MIP.czi #1,B13,2,1,0.15684033601046593,0.010824927333802206,high,high,W(22),M1,P17,B13,W(22),M1,Male,P15,12/18/2022,a-gp120
122,B13_1_MIP.czi:c:3/4 - B13_1_MIP.czi #1,B13,3,1,0.07638963121823168,0.0019419956370278352,mid,mid,W(22),M1,P17,B13,W(22),M1,Male,P15,12/18/2022,a-gp120
123,B13_1_MIP.czi:c:3/4 - B13_1_MIP.czi #1,B13,4,1,0.055581197272567245,0.010314949015278754,mid,high,W(22),M1,P17,B13,W(22),M1,Male,P15,12/18/2022,a-gp120
124,B13_2_MIP.czi:c:3/4 - B13_2_MIP.czi #1,B13,1,2,0.08816755808399658,-0.006889729505247258,mid,mid,W(22),M1,P17,B13,W(22),M1,Male,P15,12/18/2022,a-gp120
125,B13_2_MIP.czi:c:3/4 - B13_2_MIP.czi #1,B13,2,2,0.06791883077300986,-0.0014172760045945768,mid,mid,W(22),M1,P17,B13,W(22),M1,Male,P15,12/18/2022,a-gp120
126,B13_2_MIP.czi:c:3/4 - B13_2_MIP.czi #1,B13,3,2,0.10233294004075942,-0.0016762064493481416,mid,mid,W(22),M1,P17,B13,W(22),M1,Male,P15,12/18/2022,a-gp120
127,B13_2_MIP.czi:c:3/4 - B13_2_MIP.czi #1,B13,4,2,0.08326229439467837,0.012716484597902276,mid,high,W(22),M1,P17,B13,W(22),M1,Male,P15,12/18/2022,a-gp120
